State of Geography A,County Name of Geography A,State of Geography B,County Name of Geography B,B-A_Estimate,MOE,A-B_Estimate,MOE,Net_Estimate,MOE,Gross_Estimate,MOE
Georgia,Clayton County,Georgia,Carroll County,47,40,174,126,-127,134,221,130
Georgia,Clayton County,Georgia,Catoosa County,4,6,8,14,-4,16,12,15
Georgia,Clayton County,Georgia,Chatham County,481,277,130,152,351,317,611,314
Georgia,Clayton County,Georgia,Chattooga County,6,12,0,,6,12,6,12
Georgia,Clayton County,Georgia,Cherokee County,137,92,1,2,136,92,138,92
Georgia,Clayton County,Georgia,Clarke County,134,180,75,82,59,198,209,198
Georgia,Clayton County,Georgia,Clinch County,0,,5,8,-5,8,5,8
Georgia,Clayton County,Georgia,Cobb County,"1,494",607,"1,385",399,109,696,"2,879",755
Georgia,Clayton County,Georgia,Coffee County,29,30,0,,29,30,29,30
Georgia,Clayton County,Georgia,Colquitt County,11,21,0,,11,21,11,21
Georgia,Clayton County,Georgia,Columbia County,53,58,3,5,50,58,56,58
Georgia,Clayton County,Georgia,Coweta County,272,215,296,182,-24,283,568,280
Georgia,Clayton County,Georgia,Crawford County,0,,2,6,-2,6,2,6
Georgia,Clayton County,Georgia,Crisp County,38,44,74,80,-36,100,112,82
Georgia,Clayton County,Georgia,Decatur County,0,,6,12,-6,12,6,12
Georgia,Clayton County,Georgia,DeKalb County,"2,400",674,"1,692",766,708,"1,003","4,092","1,036"
Georgia,Clayton County,Georgia,Dodge County,13,18,1,7,12,19,14,20
Georgia,Clayton County,Georgia,Dooly County,14,20,5,7,9,23,19,19
Georgia,Clayton County,Georgia,Dougherty County,321,236,13,15,308,237,334,236
Georgia,Clayton County,Georgia,Douglas County,259,234,"1,236",654,-977,682,"1,495",707
Georgia,Clayton County,Georgia,Effingham County,10,15,0,,10,15,10,15
Georgia,Clayton County,Georgia,Emanuel County,0,,1,2,-1,2,1,2
Georgia,Clayton County,Georgia,Evans County,6,11,0,,6,11,6,11
Georgia,Clayton County,Georgia,Fayette County,672,258,728,340,-56,407,"1,400",445
Georgia,Clayton County,Georgia,Floyd County,41,49,9,17,32,52,50,52
Georgia,Clayton County,Georgia,Forsyth County,28,34,147,167,-119,176,175,165
Georgia,Clayton County,Georgia,Fulton County,"7,292","1,451","6,360","1,311",932,"1,921","13,652","1,989"
Georgia,Clayton County,Georgia,Glynn County,0,,38,46,-38,46,38,46
Georgia,Clayton County,Georgia,Gordon County,51,59,7,13,44,60,58,60
Georgia,Clayton County,Georgia,Gwinnett County,941,470,320,161,621,485,"1,261",508
Georgia,Clayton County,Georgia,Habersham County,0,,29,22,-29,22,29,22
Georgia,Clayton County,Georgia,Hall County,36,27,18,20,18,34,54,33
Georgia,Clayton County,Georgia,Hancock County,8,15,1,2,7,15,9,15
Georgia,Clayton County,Georgia,Haralson County,96,151,9,16,87,151,105,152
Georgia,Clayton County,Georgia,Harris County,0,,6,10,-6,10,6,10
Georgia,Clayton County,Georgia,Hart County,28,39,18,24,10,46,46,46
Georgia,Clayton County,Georgia,Henry County,"1,639",502,"3,219","1,016","-1,580","1,201","4,858","1,061"
Georgia,Clayton County,Georgia,Houston County,18,31,301,251,-283,253,319,254
Georgia,Clayton County,Georgia,Irwin County,8,14,0,,8,14,8,14
Georgia,Clayton County,Georgia,Jackson County,107,125,11,16,96,126,118,126
Georgia,Clayton County,Georgia,Jasper County,0,,49,49,-49,49,49,49
Georgia,Clayton County,Georgia,Jefferson County,16,26,24,31,-8,40,40,40
Georgia,Clayton County,Georgia,Jenkins County,6,11,0,,6,11,6,11
Georgia,Clayton County,Georgia,Johnson County,44,56,120,161,-76,172,164,168
Georgia,Clayton County,Georgia,Jones County,235,203,0,,235,203,235,203
Georgia,Clayton County,Georgia,Lamar County,0,,54,65,-54,65,54,65
Georgia,Clayton County,Georgia,Liberty County,20,28,0,,20,28,20,28
Georgia,Clayton County,Georgia,Lowndes County,0,,11,19,-11,19,11,19
Georgia,Clayton County,Georgia,McDuffie County,3,5,0,,3,5,3,5
Georgia,Clayton County,Georgia,Macon County,6,11,12,15,-6,19,18,19
Georgia,Clayton County,Georgia,Madison County,10,21,0,,10,21,10,21
Georgia,Clayton County,Georgia,Meriwether County,396,472,9,15,387,476,405,469
Georgia,Clayton County,Georgia,Monroe County,62,59,0,,62,59,62,59
Georgia,Clayton County,Georgia,Montgomery County,0,,9,16,-9,16,9,16
Georgia,Clayton County,Georgia,Muscogee County,145,107,141,160,4,189,286,196
Georgia,Clayton County,Georgia,Newton County,151,157,178,201,-27,251,329,260
Georgia,Clayton County,Georgia,Paulding County,9,18,0,,9,18,9,18
Georgia,Clayton County,Georgia,Peach County,0,,23,31,-23,31,23,31
Georgia,Clayton County,Georgia,Pickens County,5,11,0,,5,11,5,11
Georgia,Clayton County,Georgia,Pierce County,0,,8,14,-8,14,8,14
Georgia,Clayton County,Georgia,Pike County,40,62,11,16,29,64,51,63
Georgia,Clayton County,Georgia,Putnam County,0,,4,8,-4,8,4,8
Georgia,Clayton County,Georgia,Rabun County,8,14,0,,8,14,8,14
Georgia,Clayton County,Georgia,Randolph County,0,,3,7,-3,7,3,7
Georgia,Clayton County,Georgia,Richmond County,67,52,24,23,43,59,91,55
Georgia,Clayton County,Georgia,Rockdale County,176,129,573,510,-397,522,749,530
Georgia,Clayton County,Georgia,Spalding County,238,120,128,92,110,157,366,145
Georgia,Clayton County,Georgia,Stephens County,0,,25,42,-25,42,25,42
Georgia,Clayton County,Georgia,Sumter County,10,21,8,15,2,26,18,26
Georgia,Clayton County,Georgia,Tattnall County,9,13,80,46,-71,45,89,49
Georgia,Clayton County,Georgia,Taylor County,9,15,2,4,7,16,11,16
Georgia,Clayton County,Georgia,Telfair County,0,,5,9,-5,9,5,9
Georgia,Clayton County,Georgia,Terrell County,0,,5,10,-5,10,5,10
Georgia,Clayton County,Georgia,Thomas County,23,34,11,19,12,39,34,39
Georgia,Clayton County,Georgia,Tift County,2,4,0,,2,4,2,4
Georgia,Clayton County,Georgia,Troup County,23,27,21,28,2,38,44,39
Georgia,Clayton County,Georgia,Upson County,1,3,0,,1,3,1,3
Georgia,Clayton County,Georgia,Walker County,43,65,0,,43,65,43,65
Georgia,Clayton County,Georgia,Walton County,11,18,28,28,-17,35,39,32
Georgia,Clayton County,Georgia,Ware County,8,14,0,,8,14,8,14
Georgia,Clayton County,Georgia,Washington County,0,,27,30,-27,30,27,30
Georgia,Clayton County,Georgia,Wayne County,17,20,6,10,11,22,23,22
Georgia,Clayton County,Georgia,Wheeler County,8,15,0,,8,15,8,15
Georgia,Clayton County,Georgia,Wilcox County,19,26,0,,19,26,19,26
Georgia,Clayton County,Georgia,Wilkes County,6,13,1,2,5,14,7,12
Georgia,Clayton County,Georgia,Worth County,0,,19,27,-19,27,19,27
Georgia,Clayton County,Idaho,Ada County,30,40,0,,30,40,30,40
Georgia,Clayton County,Illinois,Cook County,368,298,100,152,268,327,468,341
Georgia,Clayton County,Illinois,Lake County,15,23,0,,15,23,15,23
Georgia,Clayton County,Indiana,Marion County,46,59,94,128,-48,143,140,138
Georgia,Clayton County,Iowa,Mahaska County,0,,3,5,-3,5,3,5
Georgia,Clayton County,Kentucky,Bullitt County,0,,156,192,-156,192,156,192
Georgia,Clayton County,Kentucky,Calloway County,89,137,0,,89,137,89,137
Georgia,Clayton County,Kentucky,Hardin County,0,,28,48,-28,48,28,48
Georgia,Clayton County,Kentucky,Jefferson County,31,35,0,,31,35,31,35
Georgia,Clayton County,Kentucky,Knott County,0,,3,6,-3,6,3,6
Georgia,Clayton County,Kentucky,Union County,0,,16,27,-16,27,16,27
Georgia,Clayton County,Louisiana,Bossier Parish,0,,23,31,-23,31,23,31
Georgia,Clayton County,Louisiana,Caddo Parish,30,48,0,,30,48,30,48
Georgia,Clayton County,Louisiana,Jefferson Parish,43,49,0,,43,49,43,49
Georgia,Clayton County,Louisiana,Morehouse Parish,0,,6,11,-6,11,6,11
Georgia,Clayton County,Louisiana,Orleans Parish,15,23,76,72,-61,76,91,75
Georgia,Clayton County,Louisiana,St. Bernard Parish,20,31,0,,20,31,20,31
Georgia,Clayton County,Louisiana,Vernon Parish,10,14,12,29,-2,33,22,32
Georgia,Clayton County,Maryland,Anne Arundel County,29,49,0,,29,49,29,49
Georgia,Clayton County,Maryland,Baltimore County,0,,88,95,-88,95,88,95
Georgia,Clayton County,Maryland,Charles County,6,9,0,,6,9,6,9
Georgia,Clayton County,Maryland,Frederick County,6,8,0,,6,8,6,8
Georgia,Clayton County,Maryland,Harford County,0,,9,16,-9,16,9,16
Georgia,Clayton County,Maryland,Howard County,5,7,7,15,-2,17,12,16
Georgia,Clayton County,Maryland,Montgomery County,62,97,0,,62,97,62,97
Georgia,Clayton County,Maryland,Prince George's County,29,34,0,,29,34,29,34
Georgia,Clayton County,Massachusetts,Barnstable County,14,24,0,,14,24,14,24
Georgia,Clayton County,Massachusetts,Middlesex County,0,,6,13,-6,13,6,13
Georgia,Clayton County,Massachusetts,Suffolk County,0,,14,17,-14,17,14,17
Georgia,Clayton County,Michigan,Berrien County,23,35,0,,23,35,23,35
Georgia,Clayton County,Michigan,Kent County,82,104,70,73,12,126,152,129
Georgia,Clayton County,Michigan,Saginaw County,52,86,0,,52,86,52,86
Georgia,Clayton County,Michigan,Washtenaw County,0,,7,14,-7,14,7,14
Georgia,Clayton County,Michigan,Wayne County,131,129,29,29,102,134,160,132
Georgia,Clayton County,Minnesota,Becker County,58,97,0,,58,97,58,97
Georgia,Clayton County,Minnesota,Hennepin County,27,44,0,,27,44,27,44
Georgia,Clayton County,Mississippi,DeSoto County,0,,34,41,-34,41,34,41
Georgia,Clayton County,Mississippi,Forrest County,74,82,0,,74,82,74,82
Georgia,Clayton County,Mississippi,Hinds County,0,,20,32,-20,32,20,32
Georgia,Clayton County,Mississippi,Lee County,0,,9,16,-9,16,9,16
Georgia,Clayton County,Mississippi,Leflore County,22,43,0,,22,43,22,43
Georgia,Clayton County,Mississippi,Newton County,40,41,0,,40,41,40,41
Georgia,Clayton County,Mississippi,Yazoo County,0,,13,26,-13,26,13,26
Georgia,Clayton County,Nebraska,Douglas County,4,6,0,,4,6,4,6
Georgia,Clayton County,Nebraska,Lancaster County,15,26,0,,15,26,15,26
Georgia,Clayton County,Nevada,Clark County,139,103,0,,139,103,139,103
Georgia,Clayton County,New Jersey,Bergen County,57,50,0,,57,50,57,50
Georgia,Clayton County,New Jersey,Burlington County,43,54,0,,43,54,43,54
Georgia,Clayton County,New Jersey,Essex County,67,65,13,15,54,66,80,68
Georgia,Clayton County,New York,Bronx County,101,137,0,,101,137,101,137
Georgia,Clayton County,New York,Dutchess County,0,,7,14,-7,14,7,14
Georgia,Clayton County,New York,Jefferson County,0,,4,8,-4,8,4,8
Georgia,Clayton County,New York,Kings County,215,244,2,6,213,247,217,241
Georgia,Clayton County,New York,Madison County,0,,7,12,-7,12,7,12
Georgia,Clayton County,New York,Monroe County,10,21,0,,10,21,10,21
Georgia,Clayton County,New York,New York County,35,43,31,30,4,53,66,52
Georgia,Clayton County,New York,Onondaga County,0,,13,16,-13,16,13,16
Georgia,Clayton County,New York,Ontario County,32,49,0,,32,49,32,49
Georgia,Clayton County,New York,Queens County,47,60,14,32,33,68,61,68
Georgia,Clayton County,New York,Westchester County,4,7,12,19,-8,21,16,20
Georgia,Clayton County,North Carolina,Alamance County,0,,1,2,-1,2,1,2
Georgia,Clayton County,North Carolina,Brunswick County,0,,4,6,-4,6,4,6
Georgia,Clayton County,North Carolina,Buncombe County,0,,3,5,-3,5,3,5
Georgia,Clayton County,North Carolina,Cumberland County,20,22,0,,20,22,20,22
Georgia,Clayton County,North Carolina,Davidson County,0,,1,5,-1,5,1,5
Georgia,Clayton County,North Carolina,Edgecombe County,119,91,0,,119,91,119,91
Georgia,Clayton County,North Carolina,Forsyth County,0,,159,214,-159,214,159,214
Georgia,Clayton County,North Carolina,Franklin County,0,,2,5,-2,5,2,5
Georgia,Clayton County,North Carolina,Gaston County,0,,43,63,-43,63,43,63
Georgia,Clayton County,North Carolina,Guilford County,106,119,112,139,-6,180,218,187
Georgia,Clayton County,North Carolina,Hoke County,0,,23,39,-23,39,23,39
Georgia,Clayton County,North Carolina,Jones County,0,,9,15,-9,15,9,15
Georgia,Clayton County,North Carolina,Lenoir County,51,70,0,,51,70,51,70
Georgia,Clayton County,North Carolina,Macon County,0,,15,13,-15,13,15,13
Georgia,Clayton County,North Carolina,Mecklenburg County,20,35,265,262,-245,264,285,264
Georgia,Clayton County,North Carolina,Moore County,0,,4,7,-4,7,4,7
Georgia,Clayton County,North Carolina,Pamlico County,0,,1,3,-1,3,1,3
Georgia,Clayton County,North Carolina,Pitt County,0,,2,4,-2,4,2,4
Georgia,Clayton County,North Carolina,Robeson County,0,,5,9,-5,9,5,9
Georgia,Clayton County,North Carolina,Swain County,0,,8,16,-8,16,8,16
Georgia,Clayton County,North Carolina,Wake County,10,15,0,,10,15,10,15
Georgia,Clayton County,Ohio,Butler County,0,,9,12,-9,12,9,12
Georgia,Clayton County,Ohio,Cuyahoga County,21,26,90,137,-69,140,111,140
Georgia,Clayton County,Ohio,Erie County,0,,18,40,-18,40,18,40
Georgia,Clayton County,Ohio,Fairfield County,0,,9,19,-9,19,9,19
Georgia,Clayton County,Ohio,Geauga County,0,,12,26,-12,26,12,26
Georgia,Clayton County,Ohio,Greene County,0,,1,2,-1,2,1,2
Georgia,Clayton County,Ohio,Hamilton County,1,6,12,21,-11,22,13,21
Georgia,Clayton County,Ohio,Lake County,0,,81,124,-81,124,81,124
Georgia,Clayton County,Ohio,Lucas County,0,,3,6,-3,6,3,6
Georgia,Clayton County,Ohio,Mahoning County,11,16,1,4,10,17,12,17
Georgia,Clayton County,Ohio,Montgomery County,98,147,0,,98,147,98,147
Georgia,Clayton County,Ohio,Paulding County,0,,43,64,-43,64,43,64
Georgia,Clayton County,Oklahoma,Comanche County,0,,25,28,-25,28,25,28
Georgia,Clayton County,Oklahoma,Jackson County,0,,8,16,-8,16,8,16
Georgia,Clayton County,Oklahoma,Kay County,7,15,0,,7,15,7,15
Georgia,Clayton County,Pennsylvania,Allegheny County,20,32,0,,20,32,20,32
Georgia,Clayton County,Pennsylvania,Dauphin County,26,36,22,36,4,50,48,51
Georgia,Clayton County,Pennsylvania,Erie County,69,112,0,,69,112,69,112
Georgia,Clayton County,Pennsylvania,Lebanon County,0,,17,27,-17,27,17,27
Georgia,Clayton County,Pennsylvania,Philadelphia County,208,203,0,,208,203,208,203
Georgia,Clayton County,Rhode Island,Newport County,0,,27,36,-27,36,27,36
Georgia,Clayton County,South Carolina,Abbeville County,0,,1,2,-1,2,1,2
Georgia,Clayton County,South Carolina,Anderson County,0,,12,21,-12,21,12,21
Georgia,Clayton County,South Carolina,Charleston County,9,16,59,76,-50,78,68,78
Georgia,Clayton County,South Carolina,Chesterfield County,11,16,0,,11,16,11,16
Georgia,Clayton County,South Carolina,Darlington County,0,,10,19,-10,19,10,19
Georgia,Clayton County,South Carolina,Georgetown County,15,27,0,,15,27,15,27
Georgia,Clayton County,South Carolina,Greenville County,11,17,0,,11,17,11,17
Georgia,Clayton County,South Carolina,Greenwood County,0,,68,127,-68,127,68,127
Georgia,Clayton County,South Carolina,Horry County,80,136,0,,80,136,80,136
Georgia,Clayton County,South Carolina,Jasper County,8,13,0,,8,13,8,13
Georgia,Clayton County,South Carolina,Lancaster County,31,46,0,,31,46,31,46
Georgia,Clayton County,South Carolina,Richland County,4,9,147,169,-143,170,151,168
Georgia,Clayton County,South Carolina,Spartanburg County,5,10,0,,5,10,5,10
Georgia,Clayton County,South Carolina,Sumter County,9,16,0,,9,16,9,16
Georgia,Clayton County,Tennessee,Bedford County,0,,45,56,-45,56,45,56
Georgia,Clayton County,Tennessee,Davidson County,18,28,17,23,1,37,35,36
Georgia,Clayton County,Tennessee,DeKalb County,0,,4,7,-4,7,4,7
Georgia,Clayton County,Tennessee,Grundy County,29,46,0,,29,46,29,46
Georgia,Clayton County,Tennessee,Hamilton County,18,20,60,78,-42,82,78,79
Georgia,Clayton County,Tennessee,Monroe County,0,,4,9,-4,9,4,9
Georgia,Clayton County,Tennessee,Putnam County,0,,5,10,-5,10,5,10
Georgia,Clayton County,Tennessee,Roane County,30,36,0,,30,36,30,36
Georgia,Clayton County,Tennessee,Robertson County,0,,27,44,-27,44,27,44
Georgia,Clayton County,Tennessee,Sevier County,10,18,0,,10,18,10,18
Georgia,Clayton County,Tennessee,Shelby County,196,168,16,24,180,174,212,166
Georgia,Clayton County,Tennessee,Sullivan County,0,,109,132,-109,132,109,132
Georgia,Clayton County,Texas,Bell County,63,76,0,,63,76,63,76
Georgia,Clayton County,Texas,Bexar County,0,,46,46,-46,46,46,46
Georgia,Clayton County,Texas,Burnet County,0,,10,18,-10,18,10,18
Georgia,Clayton County,Texas,Collin County,60,86,0,,60,86,60,86
Georgia,Clayton County,Texas,Dallas County,148,218,0,,148,218,148,218
Georgia,Clayton County,Texas,Denton County,47,66,100,138,-53,177,147,123
Georgia,Clayton County,Texas,Harris County,0,,14,22,-14,22,14,22
Georgia,Clayton County,Texas,Henderson County,52,77,0,,52,77,52,77
Georgia,Clayton County,Texas,Liberty County,0,,11,20,-11,20,11,20
Georgia,Clayton County,Texas,Maverick County,11,20,0,,11,20,11,20
Georgia,Clayton County,Texas,Tarrant County,21,19,18,29,3,35,39,35
Georgia,Clayton County,Utah,Salt Lake County,0,,130,188,-130,188,130,188
Georgia,Clayton County,Virginia,Fairfax County,11,16,0,,11,16,11,16
Georgia,Clayton County,Virginia,Frederick County,4,8,0,,4,8,4,8
Georgia,Clayton County,Virginia,Prince William County,30,42,0,,30,42,30,42
Georgia,Clayton County,Virginia,Roanoke County,189,276,7,14,182,278,196,276
Georgia,Clayton County,Virginia,Newport News City,10,18,0,,10,18,10,18
Georgia,Clayton County,Virginia,Norfolk City,21,36,6,14,15,39,27,39
Georgia,Clayton County,Virginia,Petersburg City,15,24,0,,15,24,15,24
Georgia,Clayton County,Virginia,Richmond City,0,,60,72,-60,72,60,72
Georgia,Clayton County,Virginia,Virginia Beach City,0,,41,66,-41,66,41,66
Georgia,Clayton County,Washington,Clallam County,41,58,0,,41,58,41,58
Georgia,Clayton County,Washington,King County,9,17,0,,9,17,9,17
Georgia,Clayton County,West Virginia,Raleigh County,10,17,0,,10,17,10,17
Georgia,Clayton County,Wisconsin,Dane County,0,,2,6,-2,6,2,6
Georgia,Clayton County,Wisconsin,Jefferson County,0,,2,6,-2,6,2,6
Georgia,Clayton County,Wisconsin,Milwaukee County,3,5,0,,3,5,3,5
Georgia,Clayton County,Puerto Rico,Arecibo Municipio,38,57,0,,38,57,38,57
Georgia,Clayton County,Puerto Rico,Guaynabo Municipio,66,51,0,,66,51,66,51
Georgia,Clayton County,Puerto Rico,Naguabo Municipio,11,20,0,,11,20,11,20
Georgia,Clayton County,Puerto Rico,Peñuelas Municipio,10,19,0,,10,19,10,19
Georgia,Clayton County,Puerto Rico,San Lorenzo Municipio,11,20,0,,11,20,11,20
Georgia,Clayton County,Africa,-,439,416,,,,,,
Georgia,Clayton County,Asia,-,267,190,,,,,,
Georgia,Clayton County,Central America,-,238,150,,,,,,
Georgia,Clayton County,Caribbean,-,73,72,,,,,,
Georgia,Clayton County,Europe,-,42,40,,,,,,
Georgia,Clayton County,U.S. Island Areas,-,6,10,,,,,,
Georgia,Clayton County,Oceania and At Sea,-,22,33,,,,,,
Georgia,Clayton County,South America,-,11,19,,,,,,
Georgia,Clinch County,Florida,Columbia County,0,,33,44,-33,44,33,44
Georgia,Clinch County,Florida,Nassau County,0,,18,29,-18,29,18,29
Georgia,Clinch County,Georgia,Bulloch County,4,9,8,17,-4,19,12,20
Georgia,Clinch County,Georgia,Butts County,0,,27,29,-27,29,27,29
Georgia,Clinch County,Georgia,Clayton County,5,8,0,,5,8,5,8
Georgia,Clinch County,Georgia,Cobb County,4,8,0,,4,8,4,8
Georgia,Clinch County,Georgia,Coffee County,0,,89,96,-89,96,89,96
Georgia,Clinch County,Georgia,DeKalb County,5,7,0,,5,7,5,7
Georgia,Clinch County,Georgia,Echols County,11,19,0,,11,19,11,19
Georgia,Clinch County,Georgia,Glynn County,13,24,0,,13,24,13,24
Georgia,Clinch County,Georgia,Gwinnett County,0,,1,3,-1,3,1,3
Georgia,Clinch County,Georgia,Hall County,0,,4,5,-4,5,4,5
Georgia,Clinch County,Georgia,Lowndes County,4,7,58,76,-54,76,62,76
Georgia,Clinch County,Georgia,Muscogee County,0,,8,15,-8,15,8,15
Georgia,Clinch County,Georgia,Pierce County,10,14,0,,10,14,10,14
Georgia,Clinch County,Georgia,Richmond County,0,,2,4,-2,4,2,4
Georgia,Clinch County,Georgia,Tattnall County,4,8,0,,4,8,4,8
Georgia,Clinch County,Georgia,Tift County,0,,5,7,-5,7,5,7
Georgia,Clinch County,Georgia,Ware County,0,,9,19,-9,19,9,19
Georgia,Clinch County,Georgia,Whitfield County,13,23,0,,13,23,13,23
Georgia,Clinch County,South Carolina,Richland County,0,,3,6,-3,6,3,6
Georgia,Clinch County,Tennessee,Rhea County,0,,3,7,-3,7,3,7
Georgia,Cobb County,Alabama,Baldwin County,0,,382,455,-382,455,382,455
Georgia,Cobb County,Alabama,Calhoun County,0,,33,37,-33,37,33,37
Georgia,Cobb County,Alabama,Cherokee County,13,36,10,16,3,40,23,39
Georgia,Cobb County,Alabama,Choctaw County,19,32,0,,19,32,19,32
Georgia,Cobb County,Alabama,Clarke County,0,,9,18,-9,18,9,18
Georgia,Cobb County,Alabama,Cleburne County,0,,18,23,-18,23,18,23
Georgia,Cobb County,Alabama,Coffee County,0,,22,23,-22,23,22,23
Georgia,Cobb County,Alabama,Houston County,0,,23,18,-23,18,23,18
Georgia,Cobb County,Alabama,Jefferson County,139,91,348,197,-209,222,487,212
Georgia,Cobb County,Alabama,Lauderdale County,0,,53,74,-53,74,53,74
Georgia,Cobb County,Alabama,Lee County,59,69,235,161,-176,174,294,176
Georgia,Cobb County,Alabama,Madison County,57,44,210,162,-153,162,267,174
Georgia,Cobb County,Alabama,Marshall County,0,,1,2,-1,2,1,2
Georgia,Cobb County,Alabama,Mobile County,33,51,57,54,-24,79,90,70
Georgia,Cobb County,Alabama,Montgomery County,15,23,43,49,-28,54,58,54
Georgia,Cobb County,Alabama,Randolph County,0,,17,27,-17,27,17,27
Georgia,Cobb County,Alabama,Russell County,9,18,0,,9,18,9,18
Georgia,Cobb County,Alabama,Shelby County,28,46,57,61,-29,75,85,77
Georgia,Cobb County,Alabama,Talladega County,19,31,0,,19,31,19,31
Georgia,Cobb County,Alabama,Tallapoosa County,0,,124,108,-124,108,124,108
Georgia,Cobb County,Alabama,Tuscaloosa County,53,76,120,109,-67,134,173,132
Georgia,Cobb County,Alabama,Walker County,13,26,8,15,5,30,21,30
Georgia,Cobb County,Arizona,Maricopa County,189,184,212,124,-23,239,401,203
Georgia,Cobb County,Arizona,Pima County,25,33,15,24,10,41,40,41
Georgia,Cobb County,Arkansas,Benton County,45,76,0,,45,76,45,76
Georgia,Cobb County,Arkansas,Craighead County,0,,57,90,-57,90,57,90
Georgia,Cobb County,Arkansas,Pulaski County,9,17,0,,9,17,9,17
Georgia,Cobb County,Arkansas,Washington County,15,25,0,,15,25,15,25
Georgia,Cobb County,California,Alameda County,65,83,43,69,22,107,108,109
Georgia,Cobb County,California,Contra Costa County,50,62,2,4,48,63,52,62
Georgia,Cobb County,California,Fresno County,24,38,157,226,-133,231,181,228
Georgia,Cobb County,California,Imperial County,0,,14,21,-14,21,14,21
Georgia,Cobb County,California,Kern County,0,,7,11,-7,11,7,11
Georgia,Cobb County,California,Los Angeles County,414,258,156,80,258,265,570,275
Georgia,Cobb County,California,Orange County,120,129,89,71,31,154,209,140
Georgia,Cobb County,California,Riverside County,49,68,190,171,-141,185,239,184
Georgia,Cobb County,California,Sacramento County,0,,132,164,-132,164,132,164
Georgia,Cobb County,California,San Bernardino County,0,,17,26,-17,26,17,26
Georgia,Cobb County,California,San Diego County,247,133,95,75,152,158,342,148
Georgia,Cobb County,California,San Joaquin County,28,46,7,11,21,47,35,48
Georgia,Cobb County,California,San Mateo County,35,57,0,,35,57,35,57
Georgia,Cobb County,California,Santa Barbara County,0,,8,15,-8,15,8,15
Georgia,Cobb County,California,Santa Clara County,35,42,167,136,-132,141,202,144
Georgia,Cobb County,California,Santa Cruz County,0,,35,40,-35,40,35,40
Georgia,Cobb County,California,Solano County,157,223,0,,157,223,157,223
Georgia,Cobb County,Colorado,Adams County,0,,83,101,-83,101,83,101
Georgia,Cobb County,Colorado,Arapahoe County,2,6,14,21,-12,23,16,21
Georgia,Cobb County,Colorado,Boulder County,0,,96,69,-96,69,96,69
Georgia,Cobb County,Colorado,Broomfield County,0,,32,53,-32,53,32,53
Georgia,Cobb County,Colorado,Clear Creek County,0,,33,69,-33,69,33,69
Georgia,Cobb County,Colorado,Denver County,25,41,53,45,-28,61,78,61
Georgia,Cobb County,Colorado,Douglas County,0,,2,4,-2,4,2,4
Georgia,Cobb County,Colorado,El Paso County,44,44,31,41,13,61,75,59
Georgia,Cobb County,Colorado,Jefferson County,0,,213,270,-213,270,213,270
Georgia,Cobb County,Colorado,Larimer County,12,17,56,54,-44,56,68,57
Georgia,Cobb County,Colorado,Park County,0,,26,40,-26,40,26,40
Georgia,Cobb County,Colorado,Pitkin County,0,,12,18,-12,18,12,18
Georgia,Cobb County,Colorado,Prowers County,0,,2,3,-2,3,2,3
Georgia,Cobb County,Connecticut,Fairfield County,17,27,143,130,-126,134,160,131
Georgia,Cobb County,Connecticut,Hartford County,195,352,137,156,58,366,332,403
Georgia,Cobb County,Connecticut,New Haven County,125,117,17,21,108,119,142,120
Georgia,Cobb County,Connecticut,New London County,12,17,38,64,-26,67,50,66
Georgia,Cobb County,Connecticut,Tolland County,157,230,0,,157,230,157,230
Georgia,Cobb County,Delaware,New Castle County,54,72,17,33,37,80,71,78
Georgia,Cobb County,District of Columbia,District of Columbia,19,30,314,292,-295,293,333,293
Georgia,Cobb County,Florida,Alachua County,187,254,8,16,179,253,195,256
Georgia,Cobb County,Florida,Bay County,35,46,102,112,-67,122,137,119
Georgia,Cobb County,Florida,Brevard County,96,108,102,115,-6,156,198,159
Georgia,Cobb County,Florida,Broward County,976,635,306,440,670,780,"1,282",765
Georgia,Cobb County,Florida,Calhoun County,0,,3,8,-3,8,3,8
Georgia,Cobb County,Florida,Charlotte County,0,,128,90,-128,90,128,90
Georgia,Cobb County,Florida,Citrus County,27,46,0,,27,46,27,46
Georgia,Cobb County,Florida,Clay County,11,19,31,54,-20,57,42,58
Georgia,Cobb County,Florida,Collier County,0,,65,128,-65,128,65,128
Georgia,Cobb County,Florida,Columbia County,0,,67,109,-67,109,67,109
Georgia,Cobb County,Florida,DeSoto County,10,20,0,,10,20,10,20
Georgia,Cobb County,Florida,Dixie County,1,3,0,,1,3,1,3
Georgia,Cobb County,Florida,Duval County,233,168,143,82,90,186,376,189
Georgia,Cobb County,Florida,Escambia County,4,6,167,213,-163,215,171,210
Georgia,Cobb County,Florida,Flagler County,17,24,73,98,-56,100,90,101
Georgia,Cobb County,Florida,Gulf County,0,,39,47,-39,47,39,47
Georgia,Cobb County,Florida,Hamilton County,0,,3,5,-3,5,3,5
Georgia,Cobb County,Florida,Hernando County,0,,18,29,-18,29,18,29
Georgia,Cobb County,Florida,Highlands County,0,,69,69,-69,69,69,69
Georgia,Cobb County,Florida,Hillsborough County,318,287,390,192,-72,351,708,340
Georgia,Cobb County,Florida,Lake County,49,57,94,135,-45,147,143,146
Georgia,Cobb County,Florida,Lee County,29,30,104,85,-75,89,133,91
Georgia,Cobb County,Florida,Leon County,264,182,281,212,-17,265,545,293
