State of Geography A,County Name of Geography A,State of Geography B,County Name of Geography B,B-A_Estimate,MOE,A-B_Estimate,MOE,Net_Estimate,MOE,Gross_Estimate,MOE
Georgia,Atkinson County,Georgia,Appling County,6,10,9,13,-3,16,15,17
Georgia,Atkinson County,Georgia,Baker County,0,,16,19,-16,19,16,19
Georgia,Atkinson County,Georgia,Baldwin County,7,10,14,24,-7,26,21,27
Georgia,Atkinson County,Georgia,Banks County,0,,16,26,-16,26,16,26
Georgia,Atkinson County,Georgia,Ben Hill County,0,,8,20,-8,20,8,20
Georgia,Atkinson County,Georgia,Berrien County,0,,128,119,-128,119,128,119
Georgia,Atkinson County,Georgia,Bleckley County,0,,21,34,-21,34,21,34
Georgia,Atkinson County,Georgia,Bulloch County,4,7,0,,4,7,4,7
Georgia,Atkinson County,Georgia,Carroll County,19,26,0,,19,26,19,26
Georgia,Atkinson County,Georgia,Coffee County,65,54,66,101,-1,117,131,113
Georgia,Atkinson County,Georgia,DeKalb County,5,9,1,2,4,10,6,9
Georgia,Atkinson County,Georgia,Fulton County,1,2,17,31,-16,31,18,31
Georgia,Atkinson County,Georgia,Lowndes County,1,4,0,,1,4,1,4
Georgia,Atkinson County,Georgia,Madison County,0,,11,20,-11,20,11,20
Georgia,Atkinson County,Georgia,Tift County,0,,10,21,-10,21,10,21
Georgia,Atkinson County,Georgia,Ware County,22,35,1,2,21,35,23,35
Georgia,Atkinson County,Georgia,Washington County,0,,11,19,-11,19,11,19
Georgia,Atkinson County,Idaho,Canyon County,0,,10,10,-10,10,10,10
Georgia,Atkinson County,Texas,Dallas County,0,,51,81,-51,81,51,81
Georgia,Bacon County,Alabama,Baldwin County,7,14,0,,7,14,7,14
Georgia,Bacon County,Florida,Duval County,14,26,118,119,-104,121,132,123
Georgia,Bacon County,Georgia,Appling County,65,66,6,25,59,65,71,76
Georgia,Bacon County,Georgia,Ben Hill County,9,15,0,,9,15,9,15
Georgia,Bacon County,Georgia,Berrien County,8,14,79,105,-71,106,87,106
Georgia,Bacon County,Georgia,Bibb County,1,2,2,4,-1,4,3,5
Georgia,Bacon County,Georgia,Brantley County,8,14,0,,8,14,8,14
Georgia,Bacon County,Georgia,Bulloch County,6,11,21,31,-15,33,27,33
Georgia,Bacon County,Georgia,Camden County,1,3,0,,1,3,1,3
Georgia,Bacon County,Georgia,Charlton County,13,22,0,,13,22,13,22
Georgia,Bacon County,Georgia,Chatham County,0,,3,6,-3,6,3,6
Georgia,Bacon County,Georgia,Clarke County,5,9,17,26,-12,28,22,28
Georgia,Bacon County,Georgia,Cobb County,0,,17,31,-17,31,17,31
Georgia,Bacon County,Georgia,Coffee County,29,26,87,104,-58,108,116,108
Georgia,Bacon County,Georgia,Colquitt County,0,,4,8,-4,8,4,8
Georgia,Bacon County,Georgia,DeKalb County,0,,4,6,-4,6,4,6
Georgia,Bacon County,Georgia,Forsyth County,0,,1,3,-1,3,1,3
Georgia,Bacon County,Georgia,Fulton County,8,15,29,35,-21,38,37,38
Georgia,Bacon County,Georgia,Glynn County,15,18,82,104,-67,106,97,106
Georgia,Bacon County,Georgia,Greene County,0,,7,12,-7,12,7,12
Georgia,Bacon County,Georgia,Heard County,8,17,0,,8,17,8,17
Georgia,Bacon County,Georgia,Houston County,15,19,0,,15,19,15,19
Georgia,Bacon County,Georgia,Jackson County,6,11,0,,6,11,6,11
Georgia,Bacon County,Georgia,Jenkins County,0,,9,16,-9,16,9,16
Georgia,Bacon County,Georgia,Liberty County,6,12,0,,6,12,6,12
Georgia,Bacon County,Georgia,Long County,6,11,0,,6,11,6,11
Georgia,Bacon County,Georgia,Lowndes County,14,18,0,,14,18,14,18
Georgia,Bacon County,Georgia,Meriwether County,8,17,0,,8,17,8,17
Georgia,Bacon County,Georgia,Monroe County,0,,7,15,-7,15,7,15
Georgia,Bacon County,Georgia,Muscogee County,6,10,0,,6,10,6,10
Georgia,Bacon County,Georgia,Newton County,1,2,0,,1,2,1,2
Georgia,Bacon County,Georgia,Pierce County,29,30,0,,29,30,29,30
Georgia,Bacon County,Georgia,Richmond County,8,16,11,16,-3,23,19,23
Georgia,Bacon County,Georgia,Sumter County,6,12,0,,6,12,6,12
Georgia,Bacon County,Georgia,Tattnall County,14,19,0,,14,19,14,19
Georgia,Bacon County,Georgia,Taylor County,0,,44,62,-44,62,44,62
Georgia,Bacon County,Georgia,Telfair County,14,18,0,,14,18,14,18
Georgia,Bacon County,Georgia,Thomas County,44,52,9,16,35,55,53,55
Georgia,Bacon County,Georgia,Tift County,0,,13,23,-13,23,13,23
Georgia,Bacon County,Georgia,Toombs County,6,12,0,,6,12,6,12
Georgia,Bacon County,Georgia,Treutlen County,10,18,0,,10,18,10,18
Georgia,Bacon County,Georgia,Troup County,0,,1,4,-1,4,1,4
Georgia,Bacon County,Georgia,Union County,7,14,0,,7,14,7,14
Georgia,Bacon County,Georgia,Walton County,6,10,0,,6,10,6,10
Georgia,Bacon County,Georgia,Ware County,29,33,76,107,-47,109,105,115
Georgia,Bacon County,Georgia,Wayne County,28,29,0,,28,29,28,29
Georgia,Bacon County,Georgia,Wheeler County,0,,5,9,-5,9,5,9
Georgia,Bacon County,Georgia,White County,0,,2,4,-2,4,2,4
Georgia,Bacon County,Georgia,Wilcox County,8,14,0,,8,14,8,14
Georgia,Bacon County,Georgia,Worth County,7,12,0,,7,12,7,12
Georgia,Bacon County,Indiana,Allen County,0,,20,30,-20,30,20,30
Georgia,Bacon County,Maryland,Talbot County,0,,2,4,-2,4,2,4
Georgia,Bacon County,South Carolina,Hampton County,15,18,0,,15,18,15,18
Georgia,Bacon County,Washington,King County,19,31,0,,19,31,19,31
Georgia,Bacon County,Africa,-,13,20,,,,,,
Georgia,Bacon County,U.S. Island Areas,-,8,12,,,,,,
Georgia,Baker County,Alabama,Pike County,0,,27,30,-27,30,27,30
Georgia,Baker County,Alabama,Randolph County,0,,6,12,-6,12,6,12
Georgia,Baker County,Georgia,Atkinson County,16,19,0,,16,19,16,19
Georgia,Baker County,Georgia,Barrow County,7,12,0,,7,12,7,12
Georgia,Baker County,Georgia,Ben Hill County,0,,46,56,-46,56,46,56
Georgia,Baker County,Georgia,Coffee County,23,34,0,,23,34,23,34
Georgia,Baker County,Georgia,Dougherty County,0,,57,55,-57,55,57,55
Georgia,Baker County,Georgia,Gwinnett County,4,6,0,,4,6,4,6
Georgia,Baker County,Georgia,Madison County,0,,11,17,-11,17,11,17
Georgia,Baker County,Georgia,Miller County,20,23,0,,20,23,20,23
Georgia,Baker County,Georgia,Mitchell County,16,16,0,,16,16,16,16
Georgia,Baker County,Georgia,Wilcox County,0,,11,15,-11,15,11,15
Georgia,Baker County,North Carolina,Cabarrus County,5,8,0,,5,8,5,8
Georgia,Baker County,North Carolina,Martin County,1,2,0,,1,2,1,2
Georgia,Baker County,Pennsylvania,Delaware County,1,9,0,,1,9,1,9
Georgia,Baldwin County,Alabama,Chilton County,0,,6,10,-6,10,6,10
Georgia,Baldwin County,Alabama,Cullman County,31,49,0,,31,49,31,49
Georgia,Baldwin County,Alabama,Elmore County,0,,3,5,-3,5,3,5
Georgia,Baldwin County,Alabama,Jefferson County,0,,9,13,-9,13,9,13
Georgia,Baldwin County,Alabama,Perry County,0,,17,23,-17,23,17,23
Georgia,Baldwin County,Alabama,Tuscaloosa County,11,19,0,,11,19,11,19
Georgia,Baldwin County,California,Ventura County,0,,18,24,-18,24,18,24
Georgia,Baldwin County,California,Yolo County,0,,10,15,-10,15,10,15
Georgia,Baldwin County,Colorado,Denver County,0,,6,9,-6,9,6,9
Georgia,Baldwin County,District of Columbia,District of Columbia,0,,29,35,-29,35,29,35
Georgia,Baldwin County,Florida,Broward County,0,,20,33,-20,33,20,33
Georgia,Baldwin County,Florida,Columbia County,18,29,0,,18,29,18,29
Georgia,Baldwin County,Florida,Dixie County,22,39,0,,22,39,22,39
Georgia,Baldwin County,Florida,Escambia County,52,94,13,23,39,98,65,95
Georgia,Baldwin County,Florida,Lee County,8,17,0,,8,17,8,17
Georgia,Baldwin County,Florida,Martin County,27,50,0,,27,50,27,50
Georgia,Baldwin County,Florida,Miami-Dade County,0,,27,43,-27,43,27,43
Georgia,Baldwin County,Florida,Sumter County,8,14,0,,8,14,8,14
Georgia,Baldwin County,Georgia,Appling County,178,183,0,,178,183,178,183
Georgia,Baldwin County,Georgia,Atkinson County,14,24,7,10,7,26,21,27
Georgia,Baldwin County,Georgia,Banks County,0,,27,40,-27,40,27,40
Georgia,Baldwin County,Georgia,Barrow County,9,17,0,,9,17,9,17
Georgia,Baldwin County,Georgia,Bartow County,10,19,2,4,8,19,12,19
Georgia,Baldwin County,Georgia,Ben Hill County,0,,29,48,-29,48,29,48
Georgia,Baldwin County,Georgia,Bibb County,227,143,99,72,128,162,326,158
Georgia,Baldwin County,Georgia,Bryan County,20,28,0,,20,28,20,28
Georgia,Baldwin County,Georgia,Bulloch County,33,43,83,78,-50,90,116,89
Georgia,Baldwin County,Georgia,Butts County,13,14,27,28,-14,32,40,31
Georgia,Baldwin County,Georgia,Calhoun County,0,,36,30,-36,30,36,30
Georgia,Baldwin County,Georgia,Camden County,91,92,16,27,75,98,107,94
Georgia,Baldwin County,Georgia,Candler County,14,26,0,,14,26,14,26
Georgia,Baldwin County,Georgia,Carroll County,63,51,7,12,56,53,70,52
Georgia,Baldwin County,Georgia,Charlton County,0,,16,21,-16,21,16,21
Georgia,Baldwin County,Georgia,Chatham County,35,35,28,38,7,52,63,51
Georgia,Baldwin County,Georgia,Chattooga County,18,15,0,,18,15,18,15
Georgia,Baldwin County,Georgia,Cherokee County,90,85,40,54,50,100,130,101
Georgia,Baldwin County,Georgia,Clarke County,39,39,0,,39,39,39,39
Georgia,Baldwin County,Georgia,Clayton County,0,,33,36,-33,36,33,36
Georgia,Baldwin County,Georgia,Cobb County,106,60,243,172,-137,187,349,178
